case_id,symptom,topology_note,osi_layer,concept_tag,severity,show_outputs,expected_fault
NET-022,Hosts intermittently see duplicate or looping routes between the OSPF core and the RIP-based branch network,R1 redistributes RIP routes into OSPF and OSPF routes into RIP on the boundary router,Layer 3,Route Redistribution,High,"R1#show running-config | section router
router ospf 1
 redistribute rip subnets
router rip
 redistribute ospf 1 metric 1
",Two-way redistribution with no route filtering or tagging creates a feedback loop between the OSPF and RIP domains
NET-023,"One host on SW1 can reach the file server, but its neighbor on the same switch cannot",Both hosts are on SW1 VLAN 20; the file server ACL is applied on the SW1 SVI,Layer 3 / Layer 4,Access Control Lists,High,"SW1#show ip access-lists
Extended IP access list FILESERVER-ACL
    10 permit ip host 10.0.20.11 host 10.0.20.100
    20 deny ip any host 10.0.20.100
SW1#show running-config interface vlan 20 | include access-group
 ip access-group FILESERVER-ACL in
",ACL only permits a single host (10.0.20.11) to reach the file server; every other host in VLAN 20 is caught by the explicit deny
NET-024,A specific host (10.0.77.5) is unreachable even though R1 has a working default route,R1's default route points to the ISP; 10.0.77.0/24 is a newly added internal subnet behind R2,Layer 3,Routing,Medium,"R1#show ip route | include Gateway|0.0.0.0/0
Gateway of last resort is 198.51.100.1 to network 0.0.0.0
S*   0.0.0.0/0 [1/0] via 198.51.100.1
","No specific route to the new 10.0.77.0/24 subnet exists, so traffic to it is sent to the default route (ISP) instead of toward R2"
NET-025,Two devices with static IPs on what should be the same subnet cannot communicate at all,PC-A and PC-B are both cabled to SW1 VLAN 30 with static IP addresses in the 10.0.30.0/24 range,Layer 3,IP Addressing,Medium,"PC-A> show ip
IP Address......................: 10.0.30.11
Subnet Mask......................: 255.255.255.0
PC-B> show ip
IP Address......................: 10.0.30.12
Subnet Mask......................: 255.255.255.128
",Subnet mask mismatch between PC-A (/24) and PC-B (/25) places them in different logical subnets despite being on the same VLAN
NET-026,The serial link between R1 and R2 shows up/up on both ends but no traffic passes across it,R1 Se0/0/0 and R2 Se0/0/0 form a leased-line point-to-point WAN link,Layer 2,WAN / Layer 2,High,"R1#show interfaces serial 0/0/0 | include line protocol|Encapsulation
Serial0/0/0 is up, line protocol is up
  Encapsulation PPP, loopback not set
R2#show interfaces serial 0/0/0 | include line protocol|Encapsulation
Serial0/0/0 is up, line protocol is up
  Encapsulation HDLC, loopback not set
",Encapsulation mismatch between the two ends of the serial link (PPP on R1 vs HDLC on R2) — this can leave the link nominally 'up/up' while dropping all higher-layer traffic
NET-027,Devices plugged into VLAN 20 are being handed IP addresses from the VLAN 30 pool,DHCP-VLAN20 and DHCP-VLAN30 are configured as separate pools on R1,Layer 3 / Layer 7,DHCP,Medium,"R1#show running-config | section ip dhcp pool
ip dhcp pool DHCP-VLAN20
 network 10.0.20.0 255.255.254.0
ip dhcp pool DHCP-VLAN30
 network 10.0.30.0 255.255.255.0
","DHCP-VLAN20's network statement uses a /23 mask, overlapping into the 10.0.21.0/24 range and effectively also covering addresses meant for VLAN 30's neighboring segment"
NET-028,"The spanning-tree root bridge keeps flapping between the two core switches, causing brief outages",SW-CORE1 and SW-CORE2 are both connected redundantly at the distribution layer,Layer 2,Spanning Tree,Medium,"SW-CORE1#show spanning-tree vlan 1 | include Priority|Address
             Priority    32768
             Address     0011.2233.4455
SW-CORE2#show spanning-tree vlan 1 | include Priority|Address
             Priority    32768
             Address     0011.2233.aabb
","Neither core switch has an explicit spanning-tree priority set, so both use the default 32768 and the root bridge election falls back to the lowest MAC address, which can shift the perceived root as the topology changes"
NET-029,A link between SW1 and SW2 intermittently behaves like an access port instead of carrying multiple VLANs,SW1 Gi0/2 and SW2 Gi0/2 connect the two switches and are expected to trunk all VLANs,Layer 2,Layer 2 Misconfiguration,Low,"SW1#show interfaces gi0/2 switchport | include Administrative Mode|Operational Mode
Administrative Mode: dynamic desirable
Operational Mode: trunk
SW2#show interfaces gi0/2 switchport | include Administrative Mode|Operational Mode
Administrative Mode: dynamic auto
Operational Mode: static access
","Both ends are left in DTP negotiation modes (desirable/auto) instead of hard-set 'trunk', and SW2 negotiated down to access mode"
NET-030,PC on VLAN 10 can ping internal IP 192.168.10.1 but cannot resolve intranet URL 'server.corp.local',DNS server is at 192.168.10.250; DHCP pool DHCP-VLAN10 provides IP configuration,Layer 7 (Service),DNS,High,"PC1> ipconfig /all
IP Address......................: 192.168.10.15
Default Gateway.................: 192.168.10.1
DNS Servers.....................: 192.168.99.254
R1#show running-config | section ip dhcp pool DHCP-VLAN10
ip dhcp pool DHCP-VLAN10
 network 192.168.10.0 255.255.255.0
 default-router 192.168.10.1
 dns-server 192.168.99.254
",DHCP pool advertises non-existent DNS server IP (192.168.99.254 instead of actual DNS server 192.168.10.250)
NET-031,Guest Wi-Fi users can ping and open web services on internal accounting servers in VLAN 20,Guest Wi-Fi is mapped to VLAN 50; Corporate servers live in VLAN 20; Guest isolation ACL intended on R1 Gi0/0.50,Layer 3 / Layer 4,Wireless & Security,High,"R1#show ip interface GigabitEthernet0/0.50 | include Inbound access list
  Inbound access list is not set
R1#show access-lists GUEST-RESTRICT
Standard IP access list GUEST-RESTRICT
    10 deny 192.168.20.0 0.0.0.255
    20 permit any
",Guest isolation ACL 'GUEST-RESTRICT' is defined on R1 but was never applied inbound on sub-interface GigabitEthernet0/0.50
NET-032,SSH connections to R2 are refused even though VTY lines are configured for SSH,R2's VTY 0 4 lines specify 'transport input ssh',Layer 7 (Service),Remote Access (SSH),Low,"R2#show ip ssh
%SSH has not been enabled
SSH Disabled - version 1.99
","SSH was never actually enabled on R2, most likely because 'ip domain-name' was never set and RSA keys were never generated with 'crypto key generate rsa'"
NET-033,Telnet to SW1 from the management PC is immediately refused,SW1 has a management VLAN 99 SVI reachable from the management PC,Layer 7 (Service),Remote Access / Security,Low,"SW1#telnet 10.0.99.5
Trying 10.0.99.5 ...
% Connection refused by remote host
SW1#show running-config | section line vty
line vty 0 4
 transport input telnet
","VTY lines have no 'password' or 'login' configuration, so Cisco IOS refuses incoming connections by default rather than allowing unauthenticated access"
